name,distance,moving_time,elapsed_time,total_elevation_gain,sport_type,id,start_date_local,achievement_count,kudos_count,comment_count,photo_count,average_speed,max_speed,average_heartrate,max_heartrate,elev_high,elev_low,pr_count,data,duracao_atividade,ano,mes
Treinamento com peso vespertino,0.0,4824,4824,0.0,Treino com peso,12462472904,2024-09-20 17:18:14+00:00,0,0,0,0,0.0,0.0,126.7,176.0,0.0,0.0,0,20-09-2024,4824,2024,9
Treinamento com peso vespertino,0.0,3739,3739,0.0,Treino com peso,12462472909,2024-09-19 17:23:18+00:00,0,0,0,0,0.0,0.0,101.1,132.0,0.0,0.0,0,19-09-2024,3739,2024,9
Treinamento com peso vespertino,0.0,5256,5256,0.0,Treino com peso,12462472932,2024-09-18 17:23:18+00:00,0,0,0,0,0.0,0.0,118.5,165.0,0.0,0.0,0,18-09-2024,5256,2024,9
Treinamento com peso vespertino,0.0,5267,5267,0.0,Treino com peso,12462472927,2024-09-17 17:26:53+00:00,0,0,0,0,0.0,0.0,97.8,173.0,0.0,0.0,0,17-09-2024,5267,2024,9
Treinamento com peso vespertino,0.0,5408,5408,0.0,Treino com peso,12431438210,2024-09-16 17:20:26+00:00,0,0,0,0,0.0,0.0,104.7,155.0,0.0,0.0,0,16-09-2024,5408,2024,9
Corrida matinal,4.9196,2255,3558,76.4,Corrida,12431438572,2024-09-15 08:01:47+00:00,0,1,0,0,7.8552,40.572,139.2,179.0,824.4,785.4,0,15-09-2024,2255,2024,9
Treinamento com peso vespertino,0.0,4737,4737,0.0,Treino com peso,12431438170,2024-09-13 17:32:33+00:00,0,0,0,0,0.0,0.0,107.5,149.0,0.0,0.0,0,13-09-2024,4737,2024,9
Treinamento com peso vespertino,0.0,5590,5590,0.0,Treino com peso,12431438173,2024-09-12 17:22:49+00:00,0,0,0,0,0.0,0.0,99.7,133.0,0.0,0.0,0,12-09-2024,5590,2024,9
Treinamento com peso vespertino,0.0,4305,4305,0.0,Treino com peso,12431438207,2024-09-11 17:23:24+00:00,0,0,0,0,0.0,0.0,121.2,170.0,0.0,0.0,0,11-09-2024,4305,2024,9
Treinamento com peso vespertino,0.0,7444,7444,0.0,Treino com peso,12431438197,2024-09-10 17:21:57+00:00,0,0,0,0,0.0,0.0,100.8,167.0,0.0,0.0,0,10-09-2024,7444,2024,9
Treinamento com peso vespertino,0.0,4243,4243,0.0,Treino com peso,12374732569,2024-09-09 17:23:11+00:00,0,1,0,0,0.0,0.0,106.0,152.0,0.0,0.0,0,09-09-2024,4243,2024,9
Treinamento com peso vespertino,0.0,4756,4756,0.0,Treino com peso,12348402958,2024-09-06 17:25:31+00:00,0,0,0,0,0.0,0.0,119.4,164.0,0.0,0.0,0,06-09-2024,4756,2024,9
Treinamento com peso vespertino,0.0,7252,7252,0.0,Treino com peso,12336829872,2024-09-05 17:24:08+00:00,0,0,0,0,0.0,0.0,97.0,128.0,0.0,0.0,0,05-09-2024,7252,2024,9
Treinamento com peso vespertino,0.0,3836,3836,0.0,Treino com peso,12336829979,2024-09-03 17:35:28+00:00,0,0,0,0,0.0,0.0,88.8,114.0,0.0,0.0,0,03-09-2024,3836,2024,9
Treinamento com peso vespertino,0.0,4581,4581,0.0,Treino com peso,12311116347,2024-09-02 17:14:50+00:00,0,4,0,0,0.0,0.0,91.2,123.0,0.0,0.0,0,02-09-2024,4581,2024,9
Natação matinal,0.75,3037,3037,0.0,Natação,12290110812,2024-08-31 10:11:39+00:00,0,2,0,0,0.8892,0.0,0.0,0.0,0.0,0.0,0,31-08-2024,3037,2024,8
Pedalada da tarde,0.0,2714,2714,0.0,Bicicleta,12284161475,2024-08-30 17:26:41+00:00,0,0,0,0,0.0,0.0,90.8,106.0,0.0,0.0,0,30-08-2024,2714,2024,8
Treinamento com peso vespertino,0.0,3602,3602,0.0,Treino com peso,12276492436,2024-08-29 17:23:52+00:00,0,1,0,0,0.0,0.0,88.1,116.0,0.0,0.0,0,29-08-2024,3602,2024,8
Regenerativo + mergulho ❤️,5.0163,1503,1975,5.8,Corrida,12195928457,2024-08-20 09:29:54+00:00,0,8,0,0,12.0168,41.4144,140.8,179.0,12.4,7.7,0,20-08-2024,1503,2024,8
Escalada em rochas vespertina,0.0,4061,4061,0.0,RockClimbing,12195928034,2024-08-19 13:43:38+00:00,0,0,0,0,0.0,0.0,113.9,162.0,0.0,0.0,0,19-08-2024,4061,2024,8
26• Meia Maratona Internacional do Rio de Janeiro,21.6528,9365,9879,26.3,Corrida,12180017223,2024-08-18 06:49:17+00:00,3,11,0,0,7.8912,36.3132,159.8,180.0,22.8,9.4,3,18-08-2024,9365,2024,8
Nadando em águas abertas,0.35,3603,3603,0.0,Natação,12170562069,2024-08-17 08:02:33+00:00,0,4,0,0,0.3492,0.0,0.0,0.0,0.0,0.0,0,17-08-2024,3603,2024,8
5/5 bugado ✊🏼,7.0158000000000005,2391,3895,59.3,Corrida,12156618241,2024-08-14 17:30:09+00:00,0,4,0,0,10.5624,42.4548,133.6,157.0,845.0,786.4,0,14-08-2024,2391,2024,8
4/5 🫣,12.0146,4484,4520,75.2,Corrida,12140509550,2024-08-13 17:23:13+00:00,0,6,0,0,9.6444,13.9644,157.2,173.0,879.3,812.5,0,13-08-2024,4484,2024,8
3/5 🫣,18.0846,7027,7448,85.1,Corrida,12110419668,2024-08-10 06:22:45+00:00,0,4,0,0,9.266399999999999,14.5332,157.7,183.0,827.3,776.0,0,10-08-2024,7027,2024,8
Treino vespertino,0.0,2128,2128,0.0,Treino livre,12109144409,2024-08-09 17:22:41+00:00,0,0,0,0,0.0,0.0,93.5,113.0,0.0,0.0,0,09-08-2024,2128,2024,8
2/5 💪🏽,12.028799999999999,4735,4814,83.6,Corrida,12098710774,2024-08-08 17:23:14+00:00,1,6,0,0,9.144,12.2652,157.9,178.0,879.4,808.3,0,08-08-2024,4735,2024,8
Treinamento com peso vespertino,0.0,3670,3670,0.0,Treino com peso,12090556930,2024-08-07 17:21:51+00:00,0,2,0,0,0.0,0.0,105.4,128.0,0.0,0.0,0,07-08-2024,3670,2024,8
1/5 ⭐️,9.722100000000001,3948,4234,50.5,Corrida,12082279087,2024-08-06 17:58:20+00:00,0,3,0,0,8.866800000000001,15.552000000000001,150.2,179.0,846.6,811.8,0,06-08-2024,3948,2024,8
Treinamento com peso vespertino,0.0,3136,3136,0.0,Treino com peso,12078346078,2024-08-05 17:20:26+00:00,0,1,0,0,0.0,0.0,107.1,137.0,0.0,0.0,0,05-08-2024,3136,2024,8
Reta final 💪🏽💪🏽,13.591899999999999,5504,5656,137.8,Corrida,12050775723,2024-08-03 06:43:22+00:00,0,5,0,0,8.888399999999999,19.1628,156.4,179.0,878.6,781.8,0,03-08-2024,5504,2024,8
Treinamento com peso vespertino,0.0,3771,3771,0.0,Treino com peso,12050775245,2024-08-02 17:19:13+00:00,0,0,0,0,0.0,0.0,97.7,131.0,0.0,0.0,0,02-08-2024,3771,2024,8
13/23 🤪,10.6848,4078,4310,77.1,Corrida,12039130246,2024-08-01 17:28:09+00:00,1,4,0,0,9.432,27.2196,158.4,175.0,879.3,812.5,0,01-08-2024,4078,2024,8
Treinamento com peso vespertino,0.0,3730,3730,0.0,Treino com peso,12038725641,2024-07-31 17:22:42+00:00,0,0,0,0,0.0,0.0,95.5,128.0,0.0,0.0,0,31-07-2024,3730,2024,7
12/23 🤩,8.0143,3451,3512,18.7,Corrida,12022366642,2024-07-30 17:21:56+00:00,0,4,0,0,8.359200000000001,13.7916,153.6,183.0,820.1,812.5,0,30-07-2024,3451,2024,7
Treinamento com peso vespertino,0.0,4235,4235,0.0,Treino com peso,12013550814,2024-07-29 17:15:22+00:00,0,0,0,0,0.0,0.0,97.9,137.0,0.0,0.0,0,29-07-2024,4235,2024,7
Treino na hora do almoço,0.0,1576,1576,0.0,Treino livre,12003102170,2024-07-28 11:25:22+00:00,0,2,0,0,0.0,0.0,132.5,180.0,0.0,0.0,0,28-07-2024,1576,2024,7
Treinamento com peso matinal,0.0,4279,4279,0.0,Treino com peso,11993396539,2024-07-27 08:17:15+00:00,0,1,0,0,0.0,0.0,98.1,128.0,0.0,0.0,0,27-07-2024,4279,2024,7
11/23 🤗,11.068200000000001,4529,4815,87.7,Corrida,11993397152,2024-07-27 06:37:52+00:00,0,4,0,0,8.7984,14.6592,156.3,181.0,845.8,781.8,0,27-07-2024,4529,2024,7
Treinamento com peso vespertino,0.0,3624,3624,0.0,Treino com peso,11993396549,2024-07-26 17:27:13+00:00,0,1,0,0,0.0,0.0,94.5,129.0,0.0,0.0,0,26-07-2024,3624,2024,7
10/23 👏🏼👏🏼,10.0325,4649,4780,123.4,Corrida,11982176194,2024-07-25 17:42:22+00:00,1,3,0,0,7.7688,12.618,153.8,180.0,842.4,780.0,0,25-07-2024,4649,2024,7
9/23 🫶🏼,9.338899999999999,3780,3801,72.0,Corrida,11964235743,2024-07-23 17:26:02+00:00,0,2,0,0,8.8956,12.193200000000001,150.1,166.0,878.9,812.9,0,23-07-2024,3780,2024,7
Natação matinal,0.15,1805,1805,0.0,Natação,11951167967,2024-07-20 10:30:42+00:00,0,2,0,0,0.2988,0.0,0.0,0.0,0.0,0.0,0,20-07-2024,1805,2024,7
7/23 😎,9.511700000000001,4326,4382,98.6,Corrida,11930434301,2024-07-19 17:23:34+00:00,0,9,0,0,7.916399999999999,11.16,157.8,189.0,879.5,786.3,0,19-07-2024,4326,2024,7
Treinamento com peso vespertino,0.0,3310,3310,0.0,Treino com peso,11930434126,2024-07-18 17:20:33+00:00,0,2,0,0,0.0,0.0,95.2,126.0,0.0,0.0,0,18-07-2024,3310,2024,7
6/23 💪🏽😃,8.8753,4049,4180,99.8,Corrida,11914515630,2024-07-17 17:28:29+00:00,0,6,0,0,7.8912,12.0024,147.3,174.0,878.9,786.3,0,17-07-2024,4049,2024,7
Treinamento com peso vespertino,0.0,3874,3874,0.0,Treino com peso,11914515436,2024-07-16 17:16:40+00:00,0,4,0,0,0.0,0.0,96.4,120.0,0.0,0.0,0,16-07-2024,3874,2024,7
5/23 🫶🏼,6.0373,2671,2685,58.5,Corrida,11897321401,2024-07-15 17:31:09+00:00,0,9,0,0,8.136,11.5668,143.6,187.0,849.5,788.7,0,15-07-2024,2671,2024,7
3/23 🙌🏼,7.5698,3627,3899,86.4,Corrida,11873814296,2024-07-12 17:29:56+00:00,0,5,0,0,7.513200000000001,32.544,144.7,177.0,879.3,802.5,0,12-07-2024,3627,2024,7
2/23 🫣,8.0017,3282,3300,37.4,Corrida,11857731215,2024-07-10 17:24:54+00:00,1,4,0,0,8.776800000000001,11.8116,159.9,175.0,846.6,812.5,0,10-07-2024,3282,2024,7
Treinamento com peso vespertino,0.0,3709,3709,0.0,Treino com peso,11857286819,2024-07-09 17:14:17+00:00,0,1,0,0,0.0,0.0,96.7,129.0,0.0,0.0,0,09-07-2024,3709,2024,7
Treinamento com peso ao entardecer,0.0,532,532,0.0,Treino com peso,11841860099,2024-07-08 18:17:23+00:00,0,0,0,0,0.0,0.0,96.2,115.0,0.0,0.0,0,08-07-2024,532,2024,7
1/23 😀,6.0195,2499,2529,43.0,Corrida,11841860322,2024-07-08 17:24:12+00:00,0,3,0,0,8.6724,13.626000000000001,143.6,173.0,846.6,804.8,0,08-07-2024,2499,2024,7
Treinamento com peso vespertino,0.0,2706,2706,0.0,Treino com peso,11841860164,2024-07-05 17:49:40+00:00,0,1,0,0,0.0,0.0,98.4,135.0,0.0,0.0,0,05-07-2024,2706,2024,7
Treinamento com peso vespertino,0.0,3786,3786,0.0,Treino com peso,11841860166,2024-07-04 17:15:58+00:00,0,2,0,0,0.0,0.0,101.0,140.0,0.0,0.0,0,04-07-2024,3786,2024,7
15 Meia Maratona de BH,21.395599999999998,7881,8204,65.4,Corrida,11774897782,2024-06-30 07:36:45+00:00,15,18,1,0,9.3888,13.698,168.1,180.0,852.4,805.3,0,30-06-2024,7881,2024,6
15/15 ❤️,7.1162,3026,3064,72.0,Corrida,11762625124,2024-06-28 17:30:13+00:00,1,3,0,0,8.4672,15.678000000000003,151.2,175.0,865.4,785.0,1,28-06-2024,3026,2024,6
