name,distance,moving_time,elapsed_time,total_elevation_gain,sport_type,id,start_date_local,achievement_count,kudos_count,comment_count,photo_count,average_speed,max_speed,average_heartrate,max_heartrate,elev_high,elev_low,pr_count
Corrida ao entardecer,3466.0,2389,2828,31.4,Run,11420102636,2024-05-15T18:13:10Z,0,2,0,0,1.451,2.697,94.0,155.0,845.1,811.9,0
Treinamento com peso vespertino,0.0,2403,2403,0.0,WeightTraining,11419849701,2024-05-15T17:23:12Z,0,1,0,0,0.0,0.0,100.2,133.0,0.0,0.0,0
Corrida da tarde,2610.0,1808,1808,0.0,Run,11419849731,2024-05-14T17:52:10Z,0,1,0,0,1.444,0.0,121.7,128.0,0.0,0.0,0
Simulador de escada vespertino,0.0,1849,1849,0.0,StairStepper,11419849633,2024-05-14T17:20:36Z,0,1,0,0,0.0,0.0,146.5,174.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,4331,4331,0.0,WeightTraining,11419849823,2024-05-13T17:19:25Z,0,1,0,0,0.0,0.0,94.1,127.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,3794,3794,0.0,WeightTraining,11419849709,2024-05-09T17:14:05Z,0,1,0,0,0.0,0.0,92.8,127.0,0.0,0.0,0
Simulador de escada ao entardecer,0.0,989,989,0.0,StairStepper,11364604596,2024-05-08T18:13:37Z,0,3,0,0,0.0,0.0,134.1,168.0,0.0,0.0,0
Pedalada da tarde,0.0,959,959,0.0,Ride,11364604575,2024-05-08T17:55:33Z,0,2,0,0,0.0,0.0,104.2,132.0,0.0,0.0,0
Welcome back bb,3550.0,1934,1934,0.0,Run,11364604807,2024-05-08T17:21:29Z,0,3,0,0,1.836,0.0,130.7,163.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,5523,5523,0.0,WeightTraining,11360276721,2024-05-07T17:22:11Z,0,0,0,0,0.0,0.0,98.7,154.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,5971,5971,0.0,WeightTraining,11360276714,2024-05-06T17:12:50Z,0,0,0,0,0.0,0.0,99.9,152.0,0.0,0.0,0
Caminhada matinal,4386.5,4205,4968,159.8,Walk,11364605200,2024-05-04T06:34:38Z,0,1,0,0,1.043,10.248,109.9,142.0,914.7,785.1,0
Corrida da tarde,2820.0,2113,2113,0.0,Run,11360276796,2024-05-03T17:48:46Z,0,3,0,0,1.335,0.0,109.7,138.0,0.0,0.0,0
Simulador de escada vespertino,0.0,1934,1934,0.0,StairStepper,11360272225,2024-05-03T17:14:52Z,0,0,0,0,0.0,0.0,146.8,174.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,7900,7900,0.0,WeightTraining,11360275236,2024-05-02T17:14:40Z,0,0,0,0,0.0,0.0,101.0,163.0,0.0,0.0,0
Caminhada matinal,6076.8,5467,8059,174.4,Walk,11360281332,2024-05-01T06:29:07Z,0,1,0,0,1.112,7.535,96.3,132.0,914.7,785.1,0
Treinamento com peso vespertino,0.0,5730,5730,0.0,WeightTraining,11360275136,2024-04-30T17:18:31Z,0,0,0,0,0.0,0.0,102.4,149.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,5199,5199,0.0,WeightTraining,11294981337,2024-04-29T17:14:55Z,0,3,0,0,0.0,0.0,111.1,158.0,0.0,0.0,0
Natação matinal,2025.0,3596,3596,0.0,Swim,11275979065,2024-04-27T08:47:40Z,0,5,0,0,0.563,0.0,,,0.0,0.0,0
Pedalada ao entardecer,0.0,674,674,0.0,Ride,11271216757,2024-04-26T18:34:13Z,0,2,0,0,0.0,0.0,98.3,113.0,0.0,0.0,0
Recuperando aos poucos 💪🏽💪🏽 Caminhada tranquila para matar a saudade do corre 🤩,1420.0,1227,1227,0.0,Walk,11271216787,2024-04-26T18:06:31Z,0,2,0,0,1.157,0.0,118.7,132.0,0.0,0.0,0
Treino vespertino,0.0,2838,2838,0.0,Workout,11271216792,2024-04-26T17:18:48Z,0,0,0,0,0.0,0.0,76.4,111.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,4501,4501,0.0,WeightTraining,11266820283,2024-04-25T17:14:25Z,0,0,0,0,0.0,0.0,99.6,149.0,0.0,0.0,0
Caminhada vespertina,7090.4,5234,5424,46.1,Walk,11257775427,2024-04-24T17:44:17Z,0,3,0,0,1.355,8.797,112.9,139.0,814.4,787.4,0
Treinamento com peso vespertino,0.0,6333,6333,0.0,WeightTraining,11257775238,2024-04-23T17:14:32Z,0,2,0,0,0.0,0.0,101.1,137.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,5176,5176,0.0,WeightTraining,11242449960,2024-04-22T17:09:41Z,0,0,0,0,0.0,0.0,105.6,154.0,0.0,0.0,0
Caminhada matinal,6991.0,6296,7058,174.1,Walk,11237659806,2024-04-21T06:19:04Z,0,2,0,0,1.11,2.653,112.8,135.0,914.7,785.1,0
Treinamento com peso matinal,0.0,6351,6351,0.0,WeightTraining,11237658210,2024-04-20T08:57:41Z,0,0,0,0,0.0,0.0,109.8,155.0,0.0,0.0,0
Pedalada ao entardecer,0.0,645,645,0.0,Ride,11237658103,2024-04-19T18:45:06Z,0,1,0,0,0.0,0.0,125.4,142.0,0.0,0.0,0
Simulador de escada ao entardecer,0.0,1900,1900,0.0,StairStepper,11237658109,2024-04-19T18:10:24Z,0,1,0,0,0.0,0.0,154.1,179.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,3399,3399,0.0,WeightTraining,11237658151,2024-04-19T17:12:27Z,0,1,0,0,0.0,0.0,81.6,107.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,6254,6254,0.0,WeightTraining,11237658183,2024-04-18T17:09:55Z,0,1,0,0,0.0,0.0,100.9,138.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,5525,5525,0.0,WeightTraining,11237658257,2024-04-17T17:23:49Z,0,0,0,0,0.0,0.0,102.8,160.0,0.0,0.0,0
Treino ao entardecer,0.0,469,469,0.0,Workout,11198150380,2024-04-16T18:15:32Z,0,2,0,0,0.0,0.0,110.2,136.0,0.0,0.0,0
Pedalada da tarde,0.0,1886,1886,0.0,Ride,11198150407,2024-04-16T17:43:48Z,0,3,0,0,0.0,0.0,118.9,136.0,0.0,0.0,0
Simulador de escada vespertino,0.0,1748,1748,0.0,StairStepper,11198150564,2024-04-16T17:12:33Z,0,3,0,0,0.0,0.0,143.6,178.0,0.0,0.0,0
Treino ao entardecer,0.0,1744,1744,0.0,Workout,11198150394,2024-04-12T18:19:26Z,0,0,0,0,0.0,0.0,114.9,149.0,0.0,0.0,0
Treino vespertino,0.0,3182,3182,0.0,Workout,11198150586,2024-04-12T17:22:55Z,0,0,0,0,0.0,0.0,83.9,119.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,5418,5418,0.0,WeightTraining,11198150637,2024-04-11T17:13:18Z,0,0,0,0,0.0,0.0,96.5,141.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,4888,4888,0.0,WeightTraining,11157704804,2024-04-10T17:13:31Z,0,0,0,0,0.0,0.0,96.8,150.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,3968,3968,0.0,WeightTraining,11157704781,2024-04-09T17:10:46Z,0,0,0,0,0.0,0.0,97.8,136.0,0.0,0.0,0
Treinamento com peso ao entardecer,0.0,3882,3882,0.0,WeightTraining,11157704796,2024-04-08T18:02:33Z,0,0,0,0,0.0,0.0,98.4,147.0,0.0,0.0,0
Simulador de escada vespertino,0.0,3619,3619,0.0,StairStepper,11157704776,2024-04-05T17:18:11Z,0,1,0,0,0.0,0.0,136.4,171.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,5037,5037,0.0,WeightTraining,11157704887,2024-04-04T17:11:28Z,0,0,0,0,0.0,0.0,94.8,137.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,768,768,0.0,WeightTraining,11157704700,2024-04-03T17:49:11Z,0,0,0,0,0.0,0.0,137.3,153.0,0.0,0.0,0
Simulador de escada vespertino,0.0,1547,1547,0.0,StairStepper,11157704731,2024-04-03T17:21:02Z,0,0,0,0,0.0,0.0,159.8,176.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,4442,4442,0.0,WeightTraining,11096640566,2024-04-02T17:16:11Z,0,1,0,0,0.0,0.0,95.6,131.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,6375,6375,0.0,WeightTraining,11096640703,2024-04-01T17:25:35Z,0,2,0,0,0.0,0.0,94.9,141.0,0.0,0.0,0
Treinamento com peso matinal,0.0,5814,5814,0.0,WeightTraining,11096640686,2024-03-16T09:22:46Z,0,0,0,0,0.0,0.0,107.5,142.0,0.0,0.0,0
Corrida ao entardecer,5008.8,2244,2298,43.7,Run,11096640741,2024-03-15T18:23:18Z,0,0,0,0,2.232,3.769,140.3,168.0,845.7,802.4,0
Treinamento com peso vespertino,0.0,5941,5941,0.0,WeightTraining,11096640700,2024-03-14T17:23:55Z,0,0,0,0,0.0,0.0,103.0,154.0,0.0,0.0,0
Corrida ao entardecer,2172.3,867,894,31.3,Run,10954242440,2024-03-13T19:18:37Z,0,3,0,0,2.506,3.53,99.6,110.0,808.6,786.1,0
Treinamento com peso vespertino,0.0,6491,6491,0.0,WeightTraining,10954042172,2024-03-12T17:23:45Z,0,0,0,0,0.0,0.0,99.3,146.0,0.0,0.0,0
Corrida ao entardecer,7004.0,2976,3029,57.2,Run,10939494262,2024-03-11T18:21:09Z,0,3,0,0,2.353,4.373,148.0,173.0,842.9,786.1,0
Treinamento com peso matinal,0.0,4532,4532,0.0,WeightTraining,10939177862,2024-03-09T08:50:42Z,0,0,0,0,0.0,0.0,95.0,142.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,5277,5277,0.0,WeightTraining,10939177907,2024-03-07T17:17:02Z,0,0,0,0,0.0,0.0,96.9,149.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,4893,4893,0.0,WeightTraining,10939177945,2024-03-05T17:19:07Z,0,0,0,0,0.0,0.0,97.1,146.0,0.0,0.0,0
All limits - Hi limits 🤘🏼😬,10067.2,4074,4098,250.9,Run,10880643934,2024-03-03T08:03:49Z,0,5,0,0,2.471,7.608,166.6,186.0,1422.0,1319.1,0
Corrida ao entardecer,7034.7,2747,2760,38.5,Run,10870414840,2024-03-01T18:20:14Z,1,4,0,0,2.561,4.366,147.7,168.0,815.0,787.2,1
Treino vespertino,0.0,2433,2433,0.0,Workout,10870414786,2024-03-01T17:15:05Z,0,0,0,0,0.0,0.0,73.6,94.0,0.0,0.0,0
Treinamento com peso vespertino,0.0,6726,6726,0.0,WeightTraining,10870414817,2024-02-29T17:11:42Z,0,1,0,0,0.0,0.0,105.0,182.0,0.0,0.0,0
Fartlek ✊🏼,8037.6,3229,3289,66.5,Run,10857760171,2024-02-28T18:11:27Z,0,5,0,0,2.489,4.083,152.9,179.0,845.0,787.2,0
Treino vespertino,0.0,3001,3001,0.0,Workout,10850931327,2024-02-27T17:29:02Z,0,4,0,0,0.0,0.0,78.2,151.0,0.0,0.0,0
Regenerando …,5014.4,2365,2383,28.5,Run,10843714800,2024-02-26T18:18:42Z,0,4,0,0,2.12,3.225,154.5,188.0,815.2,786.1,0
A primeira meia a gente não esquece 💪🏽💪🏽,21096.7,7487,7501,14.4,Run,10833577774,2024-02-25T07:02:35Z,75,13,2,0,2.818,4.634,172.7,183.0,809.9,806.1,39
Corrida da tarde,6014.5,2591,2616,56.6,Run,10822523245,2024-02-23T17:12:59Z,0,1,0,0,2.321,3.138,158.1,189.0,845.3,790.6,0
10 km,12054.4,4417,4520,78.8,Run,10810344444,2024-02-21T17:15:44Z,3,1,0,0,2.729,4.358,115.1,180.0,844.9,776.1,0
Treinamento com peso vespertino,0.0,5880,5880,0.0,WeightTraining,10810344352,2024-02-20T17:16:22Z,0,0,0,0,0.0,0.0,95.7,165.0,0.0,0.0,0
Regenerativo,5020.1,2138,2146,29.7,Run,10796503153,2024-02-19T18:18:28Z,0,4,0,0,2.348,3.456,140.1,172.0,814.8,786.1,0
21 km - Rodagem,21016.7,8529,8628,187.3,Run,10785930244,2024-02-18T05:57:52Z,4,6,0,0,2.464,4.735,142.4,161.0,879.1,776.0,2
Corrida da tarde,9745.4,3881,4091,50.1,Run,10775589302,2024-02-16T17:12:53Z,1,1,0,0,2.511,4.641,145.4,176.0,845.4,812.5,1
Treinamento com peso vespertino,0.0,4056,4056,0.0,WeightTraining,10775213428,2024-02-15T17:11:05Z,0,0,0,0,0.0,0.0,95.1,153.0,0.0,0.0,0
10km 💨,13064.0,4792,4967,82.0,Run,10763167433,2024-02-14T17:19:03Z,6,3,0,0,2.726,4.365,167.3,185.0,845.4,777.2,5
Regenerativo,5057.3,2311,2348,26.6,Run,10749631219,2024-02-12T17:48:54Z,0,1,0,0,2.188,3.029,161.7,177.0,835.0,794.6,0
18 km tranquilinho,18051.5,6877,7260,157.3,Run,10739560541,2024-02-11T06:08:40Z,5,2,0,0,2.625,4.593,162.1,179.0,880.6,776.1,1
Treinamento com peso ao entardecer,0.0,2029,2029,0.0,WeightTraining,10729878887,2024-02-09T18:45:39Z,0,0,0,0,0.0,0.0,110.1,139.0,0.0,0.0,0
Tiros de 200m com elevação 😰💪🏽,8068.9,3931,4246,175.5,Run,10729879163,2024-02-09T17:24:28Z,0,1,0,0,2.053,4.169,135.8,177.0,867.2,813.6,0
Treinamento com peso vespertino,0.0,4744,4744,0.0,WeightTraining,10729360723,2024-02-08T17:14:04Z,0,0,0,0,0.0,0.0,100.7,160.0,0.0,0.0,0
8 tiros 800 m e com chuvaaa 🌧🌧,11048.2,4524,4775,73.8,Run,10718073868,2024-02-07T17:19:31Z,1,5,0,0,2.442,3.801,141.5,180.0,850.0,811.2,0
Treinamento com peso vespertino,0.0,6246,6246,0.0,WeightTraining,10717085773,2024-02-06T17:13:17Z,0,0,0,0,0.0,0.0,96.7,157.0,0.0,0.0,0
Regenerativo,7027.5,3080,3146,68.9,Run,10703731422,2024-02-05T17:18:16Z,0,4,0,0,2.282,4.028,142.9,164.0,856.6,789.6,0
Fartlek 11km 🏃🏼‍♀️🏃🏼‍♀️,11087.3,4319,4377,72.1,Run,10692577966,2024-02-04T05:30:37Z,0,6,0,0,2.567,4.059,155.2,177.0,854.3,780.2,0
Tiros 1km,7823.6,2967,3203,20.2,Run,10683342808,2024-02-02T17:52:33Z,5,2,0,0,2.637,4.251,157.1,181.0,816.2,811.7,1
Corrida da tarde,1019.7,493,500,17.7,Run,10683342648,2024-02-02T17:42:33Z,0,1,0,0,2.068,2.87,141.8,164.0,831.6,813.2,0
